
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000121                       # Number of seconds simulated (Second)
simTicks                                    120755000                       # Number of ticks simulated (Tick)
finalTick                                   120755000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      3.38                       # Real time elapsed on the host (Second)
hostTickRate                                 35712015                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1233768                       # Number of bytes of host memory used (Byte)
simInsts                                       213253                       # Number of instructions simulated (Count)
simOps                                         215607                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    63053                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      63748                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           120756                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.566257                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.765983                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          226300                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      320                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         225188                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     77                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                11012                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              5174                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 104                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              106495                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.114541                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.042699                       # Number of insts issued each cycle (Count)
system.cpu.mmu.dtb.readAccesses                     0                       # read accesses (Count)
system.cpu.mmu.dtb.writeHits                        0                       # write hits (Count)
system.cpu.mmu.dtb.writeMisses                      0                       # write misses (Count)
system.cpu.mmu.dtb.writeAccesses                    0                       # write accesses (Count)
system.cpu.mmu.dtb.hits                             0                       # Total TLB (read and write) hits (Count)
system.cpu.mmu.dtb.misses                           0                       # Total TLB (read and write) misses (Count)
system.cpu.mmu.dtb.accesses                         0                       # Total TLB (read and write) accesses (Count)
system.cpu.mmu.dtb.walker.num_4kb_walks             0                       # Completed page walks with 4KB pages (Count)
system.cpu.mmu.dtb.walker.num_64kb_walks            0                       # Completed page walks with 64KB pages (Count)
system.cpu.mmu.dtb.walker.num_2mb_walks             0                       # Completed page walks with 2MB pages (Count)
system.cpu.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED    120755000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.mmu.itb.readHits                         0                       # read hits (Count)
system.cpu.mmu.itb.readMisses                       0                       # read misses (Count)
system.cpu.mmu.itb.readAccesses                     0                       # read accesses (Count)
system.cpu.mmu.itb.writeHits                        0                       # write hits (Count)
system.cpu.mmu.itb.writeMisses                      0                       # write misses (Count)
system.cpu.mmu.itb.writeAccesses                    0                       # write accesses (Count)
system.cpu.mmu.itb.hits                             0                       # Total TLB (read and write) hits (Count)
system.cpu.mmu.itb.misses                           0                       # Total TLB (read and write) misses (Count)
system.cpu.mmu.itb.accesses                         0                       # Total TLB (read and write) accesses (Count)
system.cpu.mmu.itb.walker.num_4kb_walks             0                       # Completed page walks with 4KB pages (Count)
system.cpu.mmu.itb.walker.num_64kb_walks            0                       # Completed page walks with 64KB pages (Count)
system.cpu.mmu.itb.walker.num_2mb_walks             0                       # Completed page walks with 2MB pages (Count)
system.cpu.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED    120755000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.power_state.pwrStateResidencyTicks::ON    120755000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.rename.status::Running               46152     43.34%     43.34% # Number of cycles rename is running (Cycle)
system.cpu.rename.status::Idle                  42546     39.95%     83.29% # Number of cycles rename is idle (Cycle)
system.cpu.rename.status::Squashing               748      0.70%     83.99% # Number of cycles rename is squashing (Cycle)
system.cpu.rename.status::Blocked                8083      7.59%     91.58% # Number of cycles rename is blocking (Cycle)
system.cpu.rename.status::Unblocking             4935      4.63%     96.21% # Number of cycles rename is unblocking (Cycle)
system.cpu.rename.status::SerializeStall         4031      3.79%    100.00% # Number of cycles rename stalled for serializing inst (Cycle)
system.cpu.rename.renamedInsts                 229442                       # Number of instructions processed by rename (Count)
system.cpu.rename.ROBFullEvents                     4                       # Number of times rename has blocked due to ROB full (Count)
system.cpu.rename.IQFullEvents                   2415                       # Number of times rename has blocked due to IQ full (Count)
system.cpu.rename.LQFullEvents                    924                       # Number of times rename has blocked due to LQ full (Count)
system.cpu.rename.SQFullEvents                   1091                       # Number of times rename has blocked due to SQ full (Count)
system.cpu.rename.renamedOperands              180378                       # Number of destination operands rename has renamed (Count)
system.cpu.rename.lookups                      293468                       # Number of register rename lookups that rename has made (Count)
system.cpu.rename.intLookups                   235965                       # Number of integer rename lookups (Count)
system.cpu.rename.fpLookups                     39870                       # Number of floating rename lookups (Count)
system.cpu.rename.vecLookups                    11316                       # Number of vector rename lookups (Count)
system.cpu.rename.committedMaps                170296                       # Number of HB maps that are committed (Count)
system.cpu.rename.undoneMaps                    10082                       # Number of HB maps that are undone due to squashing (Count)
system.cpu.rename.serializing                     160                       # count of serializing insts renamed (Count)
system.cpu.rename.tempSerializing                 161                       # count of temporary serializing insts renamed (Count)
system.cpu.rename.skidInsts                      8414                       # count of insts added to the skid buffer (Count)
system.cpu.rename.intReturned                  131966                       # count of registers freed and written back to integer free list (Count)
system.cpu.rename.fpReturned                    28366                       # count of registers freed and written back to floating point free list (Count)
system.cpu.rob.reads                           316090                       # The number of ROB reads (Count)
system.cpu.rob.writes                          453910                       # The number of ROB writes (Count)
system.cpu.thread_0.numInsts                   213253                       # Number of Instructions committed (Count)
system.cpu.thread_0.numOps                     215607                       # Number of Ops committed (Count)
system.cpu.thread_0.numMemRefs                  37946                       # Number of Memory References (Count)
system.dptw_cache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.dptw_cache.blockedCycles::no_wbuffers            0                       # number of cycles access was blocked (Cycle)
system.dptw_cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.dptw_cache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.dptw_cache.blockedCauses::no_wbuffers            0                       # number of times access was blocked (Count)
system.dptw_cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.dptw_cache.avgBlocked::no_mshrs            nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.dptw_cache.avgBlocked::no_wbuffers          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.dptw_cache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.dptw_cache.replacements                      0                       # number of replacements (Count)
system.dptw_cache.power_state.pwrStateResidencyTicks::UNDEFINED    120755000                       # Cumulative time (in ticks) in various power states (Tick)
system.dptw_cache.tags.tagsInUse                    0                       # Average ticks per tags in use ((Tick/Count))
system.dptw_cache.tags.totalRefs                    0                       # Total number of references to valid blocks. (Count)
system.dptw_cache.tags.sampledRefs                  0                       # Sample count of references to valid blocks. (Count)
system.dptw_cache.tags.avgRefs                    nan                       # Average number of references to valid blocks. ((Count/Count))
system.dptw_cache.tags.warmupTick                   0                       # The tick when the warmup percentage was hit. (Tick)
system.dptw_cache.tags.tagAccesses                  0                       # Number of tag accesses (Count)
system.dptw_cache.tags.dataAccesses                 0                       # Number of data accesses (Count)
system.dptw_cache.tags.power_state.pwrStateResidencyTicks::UNDEFINED    120755000                       # Cumulative time (in ticks) in various power states (Tick)
system.iptw_cache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.iptw_cache.blockedCycles::no_wbuffers            0                       # number of cycles access was blocked (Cycle)
system.iptw_cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.iptw_cache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.iptw_cache.blockedCauses::no_wbuffers            0                       # number of times access was blocked (Count)
system.iptw_cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.iptw_cache.avgBlocked::no_mshrs            nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.iptw_cache.avgBlocked::no_wbuffers          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.iptw_cache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.iptw_cache.replacements                      0                       # number of replacements (Count)
system.iptw_cache.power_state.pwrStateResidencyTicks::UNDEFINED    120755000                       # Cumulative time (in ticks) in various power states (Tick)
system.iptw_cache.tags.tagsInUse                    0                       # Average ticks per tags in use ((Tick/Count))
system.iptw_cache.tags.totalRefs                    0                       # Total number of references to valid blocks. (Count)
system.iptw_cache.tags.sampledRefs                  0                       # Sample count of references to valid blocks. (Count)
system.iptw_cache.tags.avgRefs                    nan                       # Average number of references to valid blocks. ((Count/Count))
system.iptw_cache.tags.warmupTick                   0                       # The tick when the warmup percentage was hit. (Tick)
system.iptw_cache.tags.tagAccesses                  0                       # Number of tag accesses (Count)
system.iptw_cache.tags.dataAccesses                 0                       # Number of data accesses (Count)
system.iptw_cache.tags.power_state.pwrStateResidencyTicks::UNDEFINED    120755000                       # Cumulative time (in ticks) in various power states (Tick)
system.l1d.demandHits::cpu.data                 31985                       # number of demand (read+write) hits (Count)
system.l1d.demandHits::total                    31985                       # number of demand (read+write) hits (Count)
system.l1d.overallHits::cpu.data                31985                       # number of overall hits (Count)
system.l1d.overallHits::total                   31985                       # number of overall hits (Count)
system.l1d.demandMisses::cpu.data                5706                       # number of demand (read+write) misses (Count)
system.l1d.demandMisses::total                   5706                       # number of demand (read+write) misses (Count)
system.l1d.overallMisses::cpu.data               5706                       # number of overall misses (Count)
system.l1d.overallMisses::total                  5706                       # number of overall misses (Count)
system.l1d.demandMissLatency::cpu.data      250867968                       # number of demand (read+write) miss ticks (Tick)
system.l1d.demandMissLatency::total         250867968                       # number of demand (read+write) miss ticks (Tick)
system.l1d.overallMissLatency::cpu.data     250867968                       # number of overall miss ticks (Tick)
system.l1d.overallMissLatency::total        250867968                       # number of overall miss ticks (Tick)
system.l1d.demandAccesses::cpu.data             37691                       # number of demand (read+write) accesses (Count)
system.l1d.demandAccesses::total                37691                       # number of demand (read+write) accesses (Count)
system.l1d.overallAccesses::cpu.data            37691                       # number of overall (read+write) accesses (Count)
system.l1d.overallAccesses::total               37691                       # number of overall (read+write) accesses (Count)
system.l1d.demandMissRate::cpu.data          0.151389                       # miss rate for demand accesses (Ratio)
system.l1d.demandMissRate::total             0.151389                       # miss rate for demand accesses (Ratio)
system.l1d.overallMissRate::cpu.data         0.151389                       # miss rate for overall accesses (Ratio)
system.l1d.overallMissRate::total            0.151389                       # miss rate for overall accesses (Ratio)
system.l1d.demandAvgMissLatency::cpu.data 43965.644585                       # average overall miss latency in ticks ((Tick/Count))
system.l1d.demandAvgMissLatency::total   43965.644585                       # average overall miss latency in ticks ((Tick/Count))
system.l1d.overallAvgMissLatency::cpu.data 43965.644585                       # average overall miss latency ((Tick/Count))
system.l1d.overallAvgMissLatency::total  43965.644585                       # average overall miss latency ((Tick/Count))
system.l1d.blockedCycles::no_mshrs                  0                       # number of cycles access was blocked (Cycle)
system.l1d.blockedCycles::no_wbuffers               0                       # number of cycles access was blocked (Cycle)
system.l1d.blockedCycles::no_targets            16309                       # number of cycles access was blocked (Cycle)
system.l1d.blockedCauses::no_mshrs                  0                       # number of times access was blocked (Count)
system.l1d.blockedCauses::no_wbuffers               0                       # number of times access was blocked (Count)
system.l1d.blockedCauses::no_targets              331                       # number of times access was blocked (Count)
system.l1d.avgBlocked::no_mshrs                   nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l1d.avgBlocked::no_wbuffers                nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l1d.avgBlocked::no_targets           49.271903                       # average number of cycles each access was blocked ((Cycle/Count))
system.l1d.writebacks::writebacks                 118                       # number of writebacks (Count)
system.l1d.writebacks::total                      118                       # number of writebacks (Count)
system.l1d.demandMshrHits::cpu.data              4535                       # number of demand (read+write) MSHR hits (Count)
system.l1d.demandMshrHits::total                 4535                       # number of demand (read+write) MSHR hits (Count)
system.l1d.overallMshrHits::cpu.data             4535                       # number of overall MSHR hits (Count)
system.l1d.overallMshrHits::total                4535                       # number of overall MSHR hits (Count)
system.l1d.demandMshrMisses::cpu.data            1171                       # number of demand (read+write) MSHR misses (Count)
system.l1d.demandMshrMisses::total               1171                       # number of demand (read+write) MSHR misses (Count)
system.l1d.overallMshrMisses::cpu.data           1171                       # number of overall MSHR misses (Count)
system.l1d.overallMshrMisses::total              1171                       # number of overall MSHR misses (Count)
system.l1d.demandMshrMissLatency::cpu.data     53224998                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l1d.demandMshrMissLatency::total      53224998                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l1d.overallMshrMissLatency::cpu.data     53224998                       # number of overall MSHR miss ticks (Tick)
system.l1d.overallMshrMissLatency::total     53224998                       # number of overall MSHR miss ticks (Tick)
system.l1d.demandMshrMissRate::cpu.data      0.031068                       # mshr miss ratio for demand accesses (Ratio)
system.l1d.demandMshrMissRate::total         0.031068                       # mshr miss ratio for demand accesses (Ratio)
system.l1d.overallMshrMissRate::cpu.data     0.031068                       # mshr miss ratio for overall accesses (Ratio)
system.l1d.overallMshrMissRate::total        0.031068                       # mshr miss ratio for overall accesses (Ratio)
system.l1d.demandAvgMshrMissLatency::cpu.data 45452.602904                       # average overall mshr miss latency ((Tick/Count))
system.l1d.demandAvgMshrMissLatency::total 45452.602904                       # average overall mshr miss latency ((Tick/Count))
system.l1d.overallAvgMshrMissLatency::cpu.data 45452.602904                       # average overall mshr miss latency ((Tick/Count))
system.l1d.overallAvgMshrMissLatency::total 45452.602904                       # average overall mshr miss latency ((Tick/Count))
system.l1d.replacements                           660                       # number of replacements (Count)
system.l1d.LoadLockedReq.hits::cpu.data            15                       # number of LoadLockedReq hits (Count)
system.l1d.LoadLockedReq.hits::total               15                       # number of LoadLockedReq hits (Count)
system.l1d.LoadLockedReq.misses::cpu.data            2                       # number of LoadLockedReq misses (Count)
system.l1d.LoadLockedReq.misses::total              2                       # number of LoadLockedReq misses (Count)
system.l1d.LoadLockedReq.missLatency::cpu.data       101000                       # number of LoadLockedReq miss ticks (Tick)
system.l1d.LoadLockedReq.missLatency::total       101000                       # number of LoadLockedReq miss ticks (Tick)
system.l1d.LoadLockedReq.accesses::cpu.data           17                       # number of LoadLockedReq accesses(hits+misses) (Count)
system.l1d.LoadLockedReq.accesses::total           17                       # number of LoadLockedReq accesses(hits+misses) (Count)
system.l1d.LoadLockedReq.missRate::cpu.data     0.117647                       # miss rate for LoadLockedReq accesses (Ratio)
system.l1d.LoadLockedReq.missRate::total     0.117647                       # miss rate for LoadLockedReq accesses (Ratio)
system.l1d.LoadLockedReq.avgMissLatency::cpu.data        50500                       # average LoadLockedReq miss latency ((Tick/Count))
system.l1d.LoadLockedReq.avgMissLatency::total        50500                       # average LoadLockedReq miss latency ((Tick/Count))
system.l1d.LoadLockedReq.mshrHits::cpu.data            1                       # number of LoadLockedReq MSHR hits (Count)
system.l1d.LoadLockedReq.mshrHits::total            1                       # number of LoadLockedReq MSHR hits (Count)
system.l1d.LoadLockedReq.mshrMisses::cpu.data            1                       # number of LoadLockedReq MSHR misses (Count)
system.l1d.LoadLockedReq.mshrMisses::total            1                       # number of LoadLockedReq MSHR misses (Count)
system.l1d.LoadLockedReq.mshrMissLatency::cpu.data        14000                       # number of LoadLockedReq MSHR miss ticks (Tick)
system.l1d.LoadLockedReq.mshrMissLatency::total        14000                       # number of LoadLockedReq MSHR miss ticks (Tick)
system.l1d.LoadLockedReq.mshrMissRate::cpu.data     0.058824                       # mshr miss rate for LoadLockedReq accesses (Ratio)
system.l1d.LoadLockedReq.mshrMissRate::total     0.058824                       # mshr miss rate for LoadLockedReq accesses (Ratio)
system.l1d.LoadLockedReq.avgMshrMissLatency::cpu.data        14000                       # average LoadLockedReq mshr miss latency ((Tick/Count))
system.l1d.LoadLockedReq.avgMshrMissLatency::total        14000                       # average LoadLockedReq mshr miss latency ((Tick/Count))
system.l1d.ReadReq.hits::cpu.data               25886                       # number of ReadReq hits (Count)
system.l1d.ReadReq.hits::total                  25886                       # number of ReadReq hits (Count)
system.l1d.ReadReq.misses::cpu.data              4258                       # number of ReadReq misses (Count)
system.l1d.ReadReq.misses::total                 4258                       # number of ReadReq misses (Count)
system.l1d.ReadReq.missLatency::cpu.data    195898000                       # number of ReadReq miss ticks (Tick)
system.l1d.ReadReq.missLatency::total       195898000                       # number of ReadReq miss ticks (Tick)
system.l1d.ReadReq.accesses::cpu.data           30144                       # number of ReadReq accesses(hits+misses) (Count)
system.l1d.ReadReq.accesses::total              30144                       # number of ReadReq accesses(hits+misses) (Count)
system.l1d.ReadReq.missRate::cpu.data        0.141255                       # miss rate for ReadReq accesses (Ratio)
system.l1d.ReadReq.missRate::total           0.141255                       # miss rate for ReadReq accesses (Ratio)
system.l1d.ReadReq.avgMissLatency::cpu.data 46007.045561                       # average ReadReq miss latency ((Tick/Count))
system.l1d.ReadReq.avgMissLatency::total 46007.045561                       # average ReadReq miss latency ((Tick/Count))
system.l1d.ReadReq.mshrHits::cpu.data            3484                       # number of ReadReq MSHR hits (Count)
system.l1d.ReadReq.mshrHits::total               3484                       # number of ReadReq MSHR hits (Count)
system.l1d.ReadReq.mshrMisses::cpu.data           774                       # number of ReadReq MSHR misses (Count)
system.l1d.ReadReq.mshrMisses::total              774                       # number of ReadReq MSHR misses (Count)
system.l1d.ReadReq.mshrMissLatency::cpu.data     36667000                       # number of ReadReq MSHR miss ticks (Tick)
system.l1d.ReadReq.mshrMissLatency::total     36667000                       # number of ReadReq MSHR miss ticks (Tick)
system.l1d.ReadReq.mshrMissRate::cpu.data     0.025677                       # mshr miss rate for ReadReq accesses (Ratio)
system.l1d.ReadReq.mshrMissRate::total       0.025677                       # mshr miss rate for ReadReq accesses (Ratio)
system.l1d.ReadReq.avgMshrMissLatency::cpu.data 47373.385013                       # average ReadReq mshr miss latency ((Tick/Count))
system.l1d.ReadReq.avgMshrMissLatency::total 47373.385013                       # average ReadReq mshr miss latency ((Tick/Count))
system.l1d.StoreCondReq.hits::cpu.data             11                       # number of StoreCondReq hits (Count)
system.l1d.StoreCondReq.hits::total                11                       # number of StoreCondReq hits (Count)
system.l1d.StoreCondReq.accesses::cpu.data           11                       # number of StoreCondReq accesses(hits+misses) (Count)
system.l1d.StoreCondReq.accesses::total            11                       # number of StoreCondReq accesses(hits+misses) (Count)
system.l1d.SwapReq.hits::cpu.data                  12                       # number of SwapReq hits (Count)
system.l1d.SwapReq.hits::total                     12                       # number of SwapReq hits (Count)
system.l1d.SwapReq.misses::cpu.data                 1                       # number of SwapReq misses (Count)
system.l1d.SwapReq.misses::total                    1                       # number of SwapReq misses (Count)
system.l1d.SwapReq.missLatency::cpu.data        16000                       # number of SwapReq miss ticks (Tick)
system.l1d.SwapReq.missLatency::total           16000                       # number of SwapReq miss ticks (Tick)
system.l1d.SwapReq.accesses::cpu.data              13                       # number of SwapReq accesses(hits+misses) (Count)
system.l1d.SwapReq.accesses::total                 13                       # number of SwapReq accesses(hits+misses) (Count)
system.l1d.SwapReq.missRate::cpu.data        0.076923                       # miss rate for SwapReq accesses (Ratio)
system.l1d.SwapReq.missRate::total           0.076923                       # miss rate for SwapReq accesses (Ratio)
system.l1d.SwapReq.avgMissLatency::cpu.data        16000                       # average SwapReq miss latency ((Tick/Count))
system.l1d.SwapReq.avgMissLatency::total        16000                       # average SwapReq miss latency ((Tick/Count))
system.l1d.SwapReq.mshrMisses::cpu.data             1                       # number of SwapReq MSHR misses (Count)
system.l1d.SwapReq.mshrMisses::total                1                       # number of SwapReq MSHR misses (Count)
system.l1d.SwapReq.mshrMissLatency::cpu.data        14000                       # number of SwapReq MSHR miss ticks (Tick)
system.l1d.SwapReq.mshrMissLatency::total        14000                       # number of SwapReq MSHR miss ticks (Tick)
system.l1d.SwapReq.mshrMissRate::cpu.data     0.076923                       # mshr miss rate for SwapReq accesses (Ratio)
system.l1d.SwapReq.mshrMissRate::total       0.076923                       # mshr miss rate for SwapReq accesses (Ratio)
system.l1d.SwapReq.avgMshrMissLatency::cpu.data        14000                       # average SwapReq mshr miss latency ((Tick/Count))
system.l1d.SwapReq.avgMshrMissLatency::total        14000                       # average SwapReq mshr miss latency ((Tick/Count))
system.l1d.WriteReq.hits::cpu.data               6099                       # number of WriteReq hits (Count)
system.l1d.WriteReq.hits::total                  6099                       # number of WriteReq hits (Count)
system.l1d.WriteReq.misses::cpu.data             1448                       # number of WriteReq misses (Count)
system.l1d.WriteReq.misses::total                1448                       # number of WriteReq misses (Count)
system.l1d.WriteReq.missLatency::cpu.data     54969968                       # number of WriteReq miss ticks (Tick)
system.l1d.WriteReq.missLatency::total       54969968                       # number of WriteReq miss ticks (Tick)
system.l1d.WriteReq.accesses::cpu.data           7547                       # number of WriteReq accesses(hits+misses) (Count)
system.l1d.WriteReq.accesses::total              7547                       # number of WriteReq accesses(hits+misses) (Count)
system.l1d.WriteReq.missRate::cpu.data       0.191864                       # miss rate for WriteReq accesses (Ratio)
system.l1d.WriteReq.missRate::total          0.191864                       # miss rate for WriteReq accesses (Ratio)
system.l1d.WriteReq.avgMissLatency::cpu.data 37962.685083                       # average WriteReq miss latency ((Tick/Count))
system.l1d.WriteReq.avgMissLatency::total 37962.685083                       # average WriteReq miss latency ((Tick/Count))
system.l1d.WriteReq.mshrHits::cpu.data           1051                       # number of WriteReq MSHR hits (Count)
system.l1d.WriteReq.mshrHits::total              1051                       # number of WriteReq MSHR hits (Count)
system.l1d.WriteReq.mshrMisses::cpu.data          397                       # number of WriteReq MSHR misses (Count)
system.l1d.WriteReq.mshrMisses::total             397                       # number of WriteReq MSHR misses (Count)
system.l1d.WriteReq.mshrMissLatency::cpu.data     16557998                       # number of WriteReq MSHR miss ticks (Tick)
system.l1d.WriteReq.mshrMissLatency::total     16557998                       # number of WriteReq MSHR miss ticks (Tick)
system.l1d.WriteReq.mshrMissRate::cpu.data     0.052604                       # mshr miss rate for WriteReq accesses (Ratio)
system.l1d.WriteReq.mshrMissRate::total      0.052604                       # mshr miss rate for WriteReq accesses (Ratio)
system.l1d.WriteReq.avgMshrMissLatency::cpu.data 41707.803526                       # average WriteReq mshr miss latency ((Tick/Count))
system.l1d.WriteReq.avgMshrMissLatency::total 41707.803526                       # average WriteReq mshr miss latency ((Tick/Count))
system.l1d.power_state.pwrStateResidencyTicks::UNDEFINED    120755000                       # Cumulative time (in ticks) in various power states (Tick)
system.l1d.tags.tagsInUse                  414.005400                       # Average ticks per tags in use ((Tick/Count))
system.l1d.tags.totalRefs                       33195                       # Total number of references to valid blocks. (Count)
system.l1d.tags.sampledRefs                      1172                       # Sample count of references to valid blocks. (Count)
system.l1d.tags.avgRefs                     28.323379                       # Average number of references to valid blocks. ((Count/Count))
system.l1d.tags.warmupTick                     248000                       # The tick when the warmup percentage was hit. (Tick)
system.l1d.tags.occupancies::cpu.data      414.005400                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.l1d.tags.avgOccs::cpu.data            0.808604                       # Average percentage of cache occupancy ((Ratio/Tick))
system.l1d.tags.avgOccs::total               0.808604                       # Average percentage of cache occupancy ((Ratio/Tick))
system.l1d.tags.occupanciesTaskId::1024           512                       # Occupied blocks per task id (Count)
system.l1d.tags.ageTaskId_1024::0                  23                       # Occupied blocks per task id, per block age (Count)
system.l1d.tags.ageTaskId_1024::1                 485                       # Occupied blocks per task id, per block age (Count)
system.l1d.tags.ageTaskId_1024::2                   4                       # Occupied blocks per task id, per block age (Count)
system.l1d.tags.ratioOccsTaskId::1024               1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.l1d.tags.tagAccesses                    152100                       # Number of tag accesses (Count)
system.l1d.tags.dataAccesses                   152100                       # Number of data accesses (Count)
system.l1d.tags.power_state.pwrStateResidencyTicks::UNDEFINED    120755000                       # Cumulative time (in ticks) in various power states (Tick)
system.l1i.demandHits::cpu.inst                 32963                       # number of demand (read+write) hits (Count)
system.l1i.demandHits::total                    32963                       # number of demand (read+write) hits (Count)
system.l1i.overallHits::cpu.inst                32963                       # number of overall hits (Count)
system.l1i.overallHits::total                   32963                       # number of overall hits (Count)
system.l1i.demandMisses::cpu.inst                 598                       # number of demand (read+write) misses (Count)
system.l1i.demandMisses::total                    598                       # number of demand (read+write) misses (Count)
system.l1i.overallMisses::cpu.inst                598                       # number of overall misses (Count)
system.l1i.overallMisses::total                   598                       # number of overall misses (Count)
system.l1i.demandMissLatency::cpu.inst       41519000                       # number of demand (read+write) miss ticks (Tick)
system.l1i.demandMissLatency::total          41519000                       # number of demand (read+write) miss ticks (Tick)
system.l1i.overallMissLatency::cpu.inst      41519000                       # number of overall miss ticks (Tick)
system.l1i.overallMissLatency::total         41519000                       # number of overall miss ticks (Tick)
system.l1i.demandAccesses::cpu.inst             33561                       # number of demand (read+write) accesses (Count)
system.l1i.demandAccesses::total                33561                       # number of demand (read+write) accesses (Count)
system.l1i.overallAccesses::cpu.inst            33561                       # number of overall (read+write) accesses (Count)
system.l1i.overallAccesses::total               33561                       # number of overall (read+write) accesses (Count)
system.l1i.demandMissRate::cpu.inst          0.017818                       # miss rate for demand accesses (Ratio)
system.l1i.demandMissRate::total             0.017818                       # miss rate for demand accesses (Ratio)
system.l1i.overallMissRate::cpu.inst         0.017818                       # miss rate for overall accesses (Ratio)
system.l1i.overallMissRate::total            0.017818                       # miss rate for overall accesses (Ratio)
system.l1i.demandAvgMissLatency::cpu.inst 69429.765886                       # average overall miss latency in ticks ((Tick/Count))
system.l1i.demandAvgMissLatency::total   69429.765886                       # average overall miss latency in ticks ((Tick/Count))
system.l1i.overallAvgMissLatency::cpu.inst 69429.765886                       # average overall miss latency ((Tick/Count))
system.l1i.overallAvgMissLatency::total  69429.765886                       # average overall miss latency ((Tick/Count))
system.l1i.blockedCycles::no_mshrs                  0                       # number of cycles access was blocked (Cycle)
system.l1i.blockedCycles::no_wbuffers               0                       # number of cycles access was blocked (Cycle)
system.l1i.blockedCycles::no_targets               11                       # number of cycles access was blocked (Cycle)
system.l1i.blockedCauses::no_mshrs                  0                       # number of times access was blocked (Count)
system.l1i.blockedCauses::no_wbuffers               0                       # number of times access was blocked (Count)
system.l1i.blockedCauses::no_targets                1                       # number of times access was blocked (Count)
system.l1i.avgBlocked::no_mshrs                   nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l1i.avgBlocked::no_wbuffers                nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l1i.avgBlocked::no_targets                  11                       # average number of cycles each access was blocked ((Cycle/Count))
system.l1i.demandMshrHits::cpu.inst               151                       # number of demand (read+write) MSHR hits (Count)
system.l1i.demandMshrHits::total                  151                       # number of demand (read+write) MSHR hits (Count)
system.l1i.overallMshrHits::cpu.inst              151                       # number of overall MSHR hits (Count)
system.l1i.overallMshrHits::total                 151                       # number of overall MSHR hits (Count)
system.l1i.demandMshrMisses::cpu.inst             447                       # number of demand (read+write) MSHR misses (Count)
